audienceType,name,categorySummary,summary
"Crafted Audience","Business Accounting Software Researchers","Consumer > B2B > Business Accounting Software Researchers","Professionals researching accounting software products."
"Crafted Audience","Business Book Readers","Consumer > Media > Business Book Readers","People searching online for books and content about business."
"Crafted Audience","Business Communication Product Researchers","Consumer > B2B > Business Communication Product Researchers","Professionals researching communication and productivity tools."
"Crafted Audience","Business Decision Makers","Consumer > B2B > Business Decision Makers","Professionals in leadership positions responsible for making business related decisions."
"Crafted Audience","Business Filing Researchers","Consumer > B2B > Business Filing Researchers","Professionals researching products and services to file a business."
"Crafted Audience","Business Incorporating & LLC Filing Researchers","Consumer > B2B > Business Incorporating & LLC Filing Researchers","Professionals reading industry news and researching products and services for filing a business or LLC."
"Crafted Audience","Business Logistics Managers","Consumer > B2B > Business Logistics Managers","Professionals responsible for day-to-day business logistics."
"Content Cluster","Business News & Information Readers","Content Clusters > Business News & Information Readers","People in this audience are interested in business information, news, finance, stocks, and markets."
"Crafted Audience","Business News Readers","Consumer > Media > Business News Readers","Readers of online business news content."
"Crafted Audience","Business Tax Filers","Consumer > Financial Services > Business Tax Filers","People researching and comparing products and services to file taxes for businesses."
"Crafted Audience","Business Travelers","Consumer > Travel > Business Travelers","Users of business travel planning and expense reimbursement tools."
"Location Audience","Buy Buy Baby","Points of interest > Retail > Home > Buy Buy Baby","People in this audience have recently visited a Buy Buy Baby location."
"Crafted Audience","CBD Oils Shoppers","Consumer > General Consumer > CBD Oils Shoppers","People researching products and health benefits of using CBD oils."
"Location Audience","CITGO Petroleum","Points of interest > Auto > Gas Stations > CITGO Petroleum","People in this audience have recently visited a CITGO Petroleum location."
"Location Audience","CVS","Points of interest > Retail > Convenience/Drug > CVS","People in this audience have recently visited a CVS location."
"Location Audience","Cabelas","Points of interest > Retail > Sporting > Cabelas","People in this audience have recently visited a Cabelas location."
"Crafted Audience","Cabin Rental Researchers","Consumer > Travel > Cabin Rental Researchers","People researching and booking cabin rentals accommodations."
"Crafted Audience","Cable TV Shoppers","Consumer > Media > Cable TV Shoppers","Consumers researching cable TV packages."
"Location Audience","Cadillac","Points of interest > Auto > Manufacturers > Cadillac","People in this audience have recently visited a Cadillac location."
"Content Cluster","Cakes & Sweets","Content Clusters > Cakes & Sweets","People in this audience are interested in cakes, cookies, desserts, sweets, and chocolate."
"Content Cluster","Calendar & Holidays","Content Clusters > Calendar & Holidays","People in this audience are interested in calendars, trivia, holidays, and almanacs."
"Location Audience","California Pizza Kitchen","Points of interest > Restaurants > Casual Restaurants > California Pizza Kitchen","People in this audience have recently visited a California Pizza Kitchen location."
"Crafted Audience","California Skiers and Snowboarders","Consumer > Travel > California Skiers and Snowboarders","Consumers reading reviews of ski resorts and snow reports in California."
"Crafted Audience","California Trip Planners","Consumer > Travel > California Trip Planners","People researching attractions and accommodations in California. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Content Cluster","California Universities","Content Clusters > California Universities","People in this audience are interested in California Universities."
"Crafted Audience","Call of Duty Enthusiasts","Consumer > Electronics > Call of Duty Enthusiasts","People reading news and product releases for Call of Duty games and merchandise."
"Location Audience","Calvin Klein","Points of interest > Retail > Apparel > Calvin Klein","People in this audience have recently visited a Calvin Klein location."
"Crafted Audience","Camaro Enthusiasts","Consumer > Auto > Camaro Enthusiasts","People researching and comparing Camaro vehicles. These consumers are more likely to spend money on a new or used car."
"Crafted Audience","Camera Review Readers","Consumer > Electronics > Camera Review Readers","Consumers reading reviews for camera equipment."
"Crafted Audience","Camera Shoppers","Consumer > Electronics > Camera Shoppers","Consumers researching and comparing cameras. These consumers are more likely to spend money on cameras and photography equipment."
"Crafted Audience","Camping Enthusiasts","Lifestyle > Activities > Camping Enthusiasts","People researching camping sites, planning camping trips, and purchasing gear."
"Content Cluster","Canada Business Cluster","Content Clusters > Canada Business Cluster","People in this audience are interested in a variety of content related to Canada."
"Content Cluster","Canada Consumer Product Cluster","Content Clusters > Canada Consumer Product Cluster","People in this audience are interested in Canada-based content about a variety of consumer products."
"Content Cluster","Canada Culture and Tourism","Content Clusters > Canada Culture and Tourism","People in this audience are interested in Canadian shopping."
"Content Cluster","Canada General Information Seeker Cluster","Content Clusters > Canada General Information Seeker Cluster","People in this audience are interested in a variety of content about Canada."
"Content Cluster","Canada Job Seekers Cluster","Content Clusters > Canada Job Seekers Cluster","People in this audience are interested in a variety of content related to Canada."
"Content Cluster","Canada News","Content Clusters > Canada News","People in this audience are interested in news related to Canada."
"Content Cluster","Canada Online Shopping Cluster","Content Clusters > Canada Online Shopping Cluster","People in this audience are interested in a variety of content related to Canada, including books, shopping, home furnishings, and outerwear."
"Content Cluster","Canada Shopping - General Commerce","Content Clusters > Canada Shopping - General Commerce","People in this audience are interested in Canadian shopping."
"Content Cluster","Canada Shopping - Kitchenware","Content Clusters > Canada Shopping - Kitchenware","People in this audience are interested in Canadian shopping."
"Content Cluster","Canada Shopping - Lifestyle and Mommy Blogs","Content Clusters > Canada Shopping - Lifestyle and Mommy Blogs","People in this audience are interested in Canada-based shopping websites."
"Content Cluster","Canada Tax and Finance Research Cluster","Content Clusters > Canada Tax and Finance Research Cluster","People in this audience are interested in a variety of content about Canada, including taxes, investment, immigration, and citizenship."
"Content Cluster","Canada Tourism Research Cluster","Content Clusters > Canada Tourism Research Cluster","People in this audience are interested in a variety of content related to Canada, including Niagara Falls, Ontario tourism, women's clothes, and home furnishings."
"Content Cluster","Canada Travel & Tourism","Content Clusters > Canada Travel & Tourism","People in this audience are interested in a variety of content related to travel."
"Crafted Audience","Canada Trip Planners","Consumer > Travel > Canada Trip Planners","People researching attractions and accommodations in Canada. These consumers are more likely to spend money on travel and local attractions."
"Content Cluster","Canadian Auto","Content Clusters > Canadian Auto","People in this audience are interested in Canada-related content about cars and trucks."
"Content Cluster","Canadian Construction & Renovation Research Cluster","Content Clusters > Canadian Construction & Renovation Research Cluster","People in this audience are interested in Canadian tools, construction, and renovation."
"Content Cluster","Canadian Healthcare","Content Clusters > Canadian Healthcare","People in this audience are interested in Canadian healthcare and disease research."
"Content Cluster","Canadian Homes","Content Clusters > Canadian Homes","People in this audience are interested in Canada-based content about finding and/or improving their homes."
"Content Cluster","Canadian Lifestyle","Content Clusters > Canadian Lifestyle","People in this audience are interested in Canadian lifestyle content, including health and cuisine."
"Content Cluster","Canadian Lifestyle","Content Clusters > Canadian Lifestyle","People in this audience are interested in Canada-focused lifestyle content."
"Content Cluster","Canadian News","Content Clusters > Canadian News","People in this audience are interested in news related to Canada."
"Content Cluster","Canadian Real Estate Researcher Cluster","Content Clusters > Canadian Real Estate Researcher Cluster","People in this audience are interested in content about Canadian real estate, homes, and real estate agents."
"Content Cluster","Canadian Seniors Real Estate Research Cluster","Content Clusters > Canadian Seniors Real Estate Research Cluster","People in this audience are interested in content about Canadian real estate, senior living, home care, and retirement."
"Content Cluster","Canadian Universities","Content Clusters > Canadian Universities","People in this audience are interested in Canadian research, universities, and libraries."
"Content Cluster","Cancer Research","Content Clusters > Cancer Research","People in this audience are interested in cancer: prevention, treatments, and finding a cure."
"Location Audience","Candlewood Suites","Points of interest > Travel > Hotels > Candlewood Suites","People in this audience have recently visited a Candlewood Suites location."
"Crafted Audience","Candy Shoppers","Consumer > CPG > Food > Candy Shoppers","Consumers researching candy companies and purchasing candy online."
"Crafted Audience","Cannabis News Readers","Consumer > Media > Cannabis News Readers","People reading industry news and following business trends for cannabis brands and products."
"Crafted Audience","Canoeing and Kayaking Enthusiasts","Lifestyle > Activities > Sports > Canoeing and Kayaking Enthusiasts","People reading about canoeing and kayaking news and destinations."
"Crafted Audience","Cape Cod News Readers","Consumer > Media > Cape Cod News Readers","People interested in reading about local news and events surrounding the Cape Cod, MA area."
"Location Audience","Capital One","Points of interest > Finance > Banks > Capital One","People in this audience have recently visited a Capital One location."
"Location Audience","Captain D's","Points of interest > Restaurants > QSR > Captain D's","People in this audience have recently visited a Captain D's location."
"Crafted Audience","Car Buyers","Consumer > Auto > Car Buyers","Consumers shopping for cars and researching deals."
"Crafted Audience","Car Collector Enthusiasts","Lifestyle > Activities > Car Collector Enthusiasts","People reading news on the collector car market. "
"Crafted Audience","Car Enthusiasts","Consumer > Auto > Car Enthusiasts","Readers of automotive news and car reviews."
"Content Cluster","Car Enthusiasts","Content Clusters > Car Enthusiasts","People in this audience are interested in car fan sites, forums, customization, and parts."
"Content Cluster","Car Forums","Content Clusters > Car Forums","People in this audience are interested in car forums."
"Content Cluster","Car Information","Content Clusters > Car Information","People in this audience are interested in car manufacturer and auto information websites."
"Content Cluster","Car Keys, Locks & Remotes","Content Clusters > Car Keys, Locks & Remotes","People in this audience are interested in car keys, locks, and remotes."
"Crafted Audience","Car Rental Shoppers","Consumer > Travel > Car Rental Shoppers","Consumers making online rental car bookings."
"Content Cluster","Car Shopping","Content Clusters > Car Shopping","People in this audience are interested in automotive shopping websites."
"Content Cluster","Cardiac & Other Health Research","Content Clusters > Cardiac & Other Health Research","People in this audience are interested in health and medical research, with a focus on cardiac content."
"Crafted Audience","Cardio Health Researchers","Consumer > Healthcare > Cardio Health Researchers","People reading news and advice on preventing and treating cardio health issues."
"Content Cluster","Career Cluster A","Content Clusters > Career Cluster A","People in this audience are interested in a variety of content about careers and job search."
"Crafted Audience","Career Focused Individuals","Lifestyle > Occupation > Career Focused Individuals","People researching career development and advancement."
"Location Audience","Carhartt","Points of interest > Retail > Apparel > Carhartt","People in this audience have recently visited a Carhartt location."
"Content Cluster","Caribbean Cluster","Content Clusters > Caribbean Cluster","People in this audience are interested in a variety of content related to the Caribbean."
"Crafted Audience","Caribbean Trip Planners","Consumer > Travel > Caribbean Trip Planners","People researching attractions and accommodations in the Caribbean islands. These consumers are more likely to spend money on travel and local attractions."
"Content Cluster","Caribbean Vacation","Content Clusters > Caribbean Vacation","People in this audience are interested in a vacation to the Caribbean."
"Location Audience","Caribou Coffee","Points of interest > Restaurants > QSR > Caribou Coffee","People in this audience have recently visited a Caribou Coffee location."
"Location Audience","Carmike Cinemas","Points of interest > Entertainment > Movies > Carmike Cinemas","People in this audience have recently visited a Carmike Cinemas location."
"Crafted Audience","Carolina Panthers Fans","Consumer > Media > Sports Fans > Carolina Panthers Fans","People reading news about the Carolina Panthers and watching games. These consumers are more likely to spend money on team gear."
"Location Audience","Carquest","Points of interest > Auto > Service Supplies > Carquest","People in this audience have recently visited a Carquest location."
"Location Audience","Carrabba's Italian Grill","Points of interest > Restaurants > Casual Restaurants > Carrabba's Italian Grill","People in this audience have recently visited a Carrabba's Italian Grill location."
"Content Cluster","Cars, Travel & Food","Content Clusters > Cars, Travel & Food","People in this audience are interested in cars, travel, and food."
"Location Audience","Carvel's","Points of interest > Restaurants > QSR > Carvel's","People in this audience have recently visited a Carvel's location."
"Location Audience","Caseys General Store","Points of interest > Retail > Grocery > Caseys General Store","People in this audience have recently visited a Caseys General Store location."
"Location Audience","Casinos","Points of interest > Entertainment > Casinos > Casinos","People in this audience have recently visited a Casinos location."
"Content Cluster","Casual & Nintendo Gamers","Content Clusters > Casual & Nintendo Gamers","People in this audience are interested in video games, including Nintendo and cheats."
"Crafted Audience","Casual Dining Restaurant Researchers","Consumer > General Consumer > Casual Dining Restaurant Researchers","People researching news and menus from casual dining restaurants."
"Crafted Audience","Cat Lovers","Lifestyle > Activities > Cat Lovers","People reading about cats and shopping for pet products and services."
"Content Cluster","Catholicism","Content Clusters > Catholicism","People in this audience are interested in the Catholic faith, church, and prayer."
"Crafted Audience","Cattle Industry New Readers","Consumer > Media > Cattle Industry New Readers","People reading industry news and following business trends in the cattle industry."
"Content Cluster","Celebrity Gossip","Content Clusters > Celebrity Gossip","People in this audience are interested in celebrity gossip."
"Content Cluster","Celebrity Gossip & News","Content Clusters > Celebrity Gossip & News","People in this audience are interested in celebrity gossip, news, and entertainment."
"Content Cluster","Celebrity Gossip & Pop Culture","Content Clusters > Celebrity Gossip & Pop Culture","People in this audience are interested in gossip, celebrities, blogging, pop culture, and entertainment."
"Content Cluster","Celebrity Gossip & Viral News","Content Clusters > Celebrity Gossip & Viral News","People in this audience are interested in viral news, gossip, and entertainment news."
"Crafted Audience","Celebrity Gossip Fans","Consumer > Media > Celebrity Gossip Fans","Readers of online celebrity gossip websites."
"Content Cluster","Central & Northwest Ohio Cluster","Content Clusters > Central & Northwest Ohio Cluster","People in this audience are interested in a variety of content related to Central & Northwest Ohio, including the cities of Columbus and Toledo."
"Content Cluster","Central & South American News","Content Clusters > Central & South American News","People in this audience are interested in Central and South American news, with a focus on Venezuela, Peru, and Panama."
"Content Cluster","Central California Cluster","Content Clusters > Central California Cluster","People in this audience are interested in content related to Central California, including Fresno, Bakersfield, and Santa Barbara."
"Location Audience","Central Market","Points of interest > Out of Home > Assets > Central Market","People in this audience have recently visited a Central Markets location"
"Content Cluster","Central Pennsylvania Cluster","Content Clusters > Central Pennsylvania Cluster","People in this audience are interested in a variety of content related to Central Pennsylvania, including Penn State, Hershey Park, Lancaster, and Gettysburg."
"Location Audience","Century 21 Real Estate","Points of interest > Services > Real Estate Brokers > Century 21 Real Estate","People in this audience have recently visited a Century 21 Real Estate location."
"Crafted Audience","Certified Events Professionals","Lifestyle > Occupation > Certified Events Professionals","Professionals reading industry news and researching products and services for event management."
"Crafted Audience","Chain Pizzeria Fans","Consumer > CPG > Food > Chain Pizzeria Fans","Consumers researching promotions and ordering pizza from online pizza chains."
"Content Cluster","Chain Restaurants","Content Clusters > Chain Restaurants","People in this audience are interested in chain restaurants."
"Location Audience","Champs","Points of interest > Retail > Sporting > Champs","People in this audience have recently visited a Champs location."
"Crafted Audience","Chandelier and Lamp Shoppers","Consumer > Retail > Home > Chandelier and Lamp Shoppers","Consumers shopping for lighting, like chandeliers and lamps, for their homes."
"Crafted Audience","Charitable Donors","Consumer > General Consumer > Charitable Donors","People researching major charitable organizations."
"Crafted Audience","Charitable Organization Researchers","Lifestyle > Activities > Charitable Organization Researchers","People researching charitable organizations for donate or volunteer opportunities."
"Crafted Audience","Charitable Organization Supporters","Lifestyle > Activities > Charitable Organization Supporters","People supporting charitable organizations through service and donations."
"Content Cluster","Charity Walks","Content Clusters > Charity Walks","People in this audience are interested in walks and fundraisers for charity."
"Location Audience","Charles Schwab","Points of interest > Finance > Personal Finance > Charles Schwab","People in this audience have recently visited a Charles Schwab location."
"Location Audience","Charlotte Russe","Points of interest > Retail > Apparel > Charlotte Russe","People in this audience have recently visited a Charlotte Russe location."
"Location Audience","Charter Fitness","Points of interest > Health > Fitness Clubs > Charter Fitness","People in this audience have recently visited a Charter Fitness location."
"Location Audience","Chase","Points of interest > Finance > Banks > Chase","People in this audience have recently visited a Chase location."
"Content Cluster","Chat Rooms","Content Clusters > Chat Rooms","People in this audience are interested in online chat and chat rooms."
"Location Audience","Check n Go","Points of interest > Finance > Personal Finance > Check n Go","People in this audience have recently visited a Check n Go location."
"Location Audience","Checkers Drive-In","Points of interest > Restaurants > QSR > Checkers Drive-In","People in this audience have recently visited a Checkers Drive-In location."
"Content Cluster","Cheerleading","Content Clusters > Cheerleading","People in this audience are interested in cheerleading, cheerleading costumes, and competitive dancing."
"Location Audience","Cheesecake Factory","Points of interest > Restaurants > Casual Restaurants > Cheesecake Factory","People in this audience have recently visited a Cheesecake Factory location."
"Content Cluster","Chef & Restaurant Resources","Content Clusters > Chef & Restaurant Resources","People in this audience are interested in chef and restaurant resources."
"Crafted Audience","Chelsea Fans","Consumer > Media > Sports Fans > Chelsea Fans","People reading news about the Chelsea football club and watching games. These consumers are more likely to spend money on team gear."
"Content Cluster","Chemicals","Content Clusters > Chemicals","People in this audience are interested in chemicals, coatings, and materials."
"Crafted Audience","Chess Enthusiasts","Lifestyle > Activities > Chess Enthusiasts","People researching chess techniques and playing chess online."
"Location Audience","Chevrolet","Points of interest > Auto > Manufacturers > Chevrolet","People in this audience have recently visited a Chevrolet location."
"Location Audience","Chevron","Points of interest > Auto > Gas Stations > Chevron","People in this audience have recently visited a Chevron location."
"Crafted Audience","Chicago Bears Fans","Consumer > Media > Sports Fans > Chicago Bears Fans","People reading news about the Chicago Bears and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","Chicago Blackhawks Fans","Consumer > Media > Sports Fans > Chicago Blackhawks Fans","People reading news about the Chicago Blackhawks and watching games. These consumers are more likely to spend money on team gear."
"Content Cluster","Chicago Cluster","Content Clusters > Chicago Cluster","People in this audience are interested in variety of topics related to the City of Chicago."
"Crafted Audience","Chicago Cubs Fans","Consumer > Media > Sports Fans > Chicago Cubs Fans","Fans of Chicago Cubs"
"Crafted Audience","Chicago Trip Planners","Consumer > Travel > Chicago Trip Planners","People researching attractions and accommodations in Chicago. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Location Audience","Chick-Fil-A","Points of interest > Restaurants > QSR > Chick-Fil-A","People in this audience have recently visited a Chick-Fil-A location."
"Crafted Audience","Chicken Recipe Researchers","Consumer > CPG > Food > Chicken Recipe Researchers","People researching recipes that feature chicken."
"Location Audience","Chicos","Points of interest > Retail > Apparel > Chicos","People in this audience have recently visited a Chicos location."
"Crafted Audience","Child Car Seat Researchers","Lifestyle > Lifestage > Family > Child Car Seat Researchers","People researching and comparing car seats for children."
"Content Cluster","Child Development","Content Clusters > Child Development","People in this audience are interested in child development, including autism, dyslexia, and speech therapy."
"Content Cluster","Children's Health","Content Clusters > Children's Health","People in this audience are interested in family planning, childcare, and kids programs."
"Content Cluster","Children's Learning Tools","Content Clusters > Children's Learning Tools","People in this audience are interested in online learning tools for children."
"Crafted Audience","Childrens Museum Visitors","Lifestyle > Activities > Childrens Museum Visitors","People researching childrens museums and planning a visit."
"Crafted Audience","Chile Trip Planners","Consumer > Travel > Chile Trip Planners","People researching attractions and accommodations in Chile These consumers are more likely to spend money on flights, hotels, and local attractions."
"Location Audience","Chili's","Points of interest > Restaurants > Casual Restaurants > Chili's","People in this audience have recently visited a Chili's location."
"Content Cluster","China Cluster","Content Clusters > China Cluster","People in this audience are interested in a variety of content related to China."
"Crafted Audience","China Trip Planners","Consumer > Travel > China Trip Planners","People researching attractions and accommodations in China These consumers are more likely to spend money on flights, hotels, and local attractions."
"Location Audience","Chipotle","Points of interest > Restaurants > QSR > Chipotle","People in this audience have recently visited a Chipotle location."
"Crafted Audience","Chocolate Lovers","Consumer > CPG > Food > Chocolate Lovers","Consumers researching chocolate companies and purchasing chocolates and desserts."
"Crafted Audience","Cholesterol Researchers","Consumer > Healthcare > Pharma > Cholesterol Researchers","People researching cholesterol trends and treatment options."
"Content Cluster","Christian Music","Content Clusters > Christian Music","People in this audience are interested in Christian music."
"Content Cluster","Christian News","Content Clusters > Christian News","People in this audience are interested in Christian news."
"Crafted Audience","Christian Voters","Lifestyle > Political > Christian Voters","People researching political issues for Christian voters."
"Content Cluster","Christian Youth","Content Clusters > Christian Youth","People in this audience are interested in content about the bible and ministry to youths."
"Content Cluster","Christianity - Evangelism & Creationism","Content Clusters > Christianity - Evangelism & Creationism","People in this audience are interested in content about bible study and Christian faith."
"Content Cluster","Christianity - Faith, Charity & Counseling","Content Clusters > Christianity - Faith, Charity & Counseling","People in this audience are interested in content about bible study and Christian faith."
"Content Cluster","Christianity Cluster","Content Clusters > Christianity Cluster","People in this audience are interested in a variety of topics related to Christianity."
"Content Cluster","Christians Prosperity Gospel","Content Clusters > Christians Prosperity Gospel","People in this audience are interested in ministry, Jesus, faith, and television."
"Crafted Audience","Christmas Celebration Researchers","Lifestyle > Holidays > Christmas Celebration Researchers","People reading online about Christmas celebration ideas."
"Crafted Audience","Christmas Decorations Shoppers","Lifestyle > Holidays > Christmas Decorations Shoppers","Consumers in-market for Christmas decorations."
"Crafted Audience","Christmas Enthusiasts","Lifestyle > Holidays > Christmas Enthusiasts","People researching holiday traditions and visiting sites related to Christmas."
"Crafted Audience","Christmas Tree Shoppers","Lifestyle > Holidays > Christmas Tree Shoppers","Consumers shopping for Christmas trees and other Christmas decorations online."
"Location Audience","Chrysler","Points of interest > Auto > Manufacturers > Chrysler","People in this audience have recently visited a Chrysler location."
"Location Audience","Chuck E Cheeses","Points of interest > Entertainment > Families > Chuck E Cheeses","People in this audience have recently visited a Chuck E Cheeses location."
"Location Audience","Church's Chicken","Points of interest > Restaurants > QSR > Church's Chicken","People in this audience have recently visited a Church's Chicken location."
"Content Cluster","Cigars","Content Clusters > Cigars","People in this audience are interested in cigars, tobacco, humidors, and pipes."
"Crafted Audience","Cigars Shoppers","Consumer > General Consumer > Cigars Shoppers","Consumers researching brands and shopping for cigars."
"Crafted Audience","Cincinnati Bengals Fans","Consumer > Media > Sports Fans > Cincinnati Bengals Fans","People reading news about the Cincinnati Bengals and watching games. These consumers are more likely to spend money on team gear."
"Content Cluster","Cincinnati Cluster","Content Clusters > Cincinnati Cluster","People in this audience are interested in a variety of topics related to Cincinnati."
"Crafted Audience","Cinco de Mayo Celebrators","Lifestyle > Holidays > Cinco de Mayo Celebrators","People researching traditions and planning celebrations for Cinco de Mayo."
"Location Audience","Cinemark Theaters","Points of interest > Entertainment > Movies > Cinemark Theaters","People in this audience have recently visited a Cinemark Theaters location."
"Crafted Audience","Cininnati Reds Fans","Consumer > Media > Sports Fans > Cininnati Reds Fans","Fans of Cininnati Reds"
"Location Audience","Cinnabon","Points of interest > Restaurants > QSR > Cinnabon","People in this audience have recently visited a Cinnabon location."
"Location Audience","Circle K","Points of interest > Auto > Gas Stations > Circle K","People in this audience have recently visited a Circle K location."
"Location Audience","Citibank","Points of interest > Finance > Banks > Citibank","People in this audience have recently visited a Citibank location."
"Location Audience","City Sports","Points of interest > Retail > Sporting > City Sports","People in this audience have recently visited a City Sports location."
"Crafted Audience","Civil Engineers","Lifestyle > Occupation > Civil Engineers","Professionals reading industry news and researching products and services for civil engineering."
"Crafted Audience","Civil War History Buff","Lifestyle > Activities > Civil War History Buff","People reading about the history of the American Civil War."
"Content Cluster","Classic Car Enthusiasts","Content Clusters > Classic Car Enthusiasts","People in this audience are interested in classic cars, such as Corvettes and Mustangs."
"Content Cluster","Classic Car Purchase Researchers","Content Clusters > Classic Car Purchase Researchers","People in this audience are interested in classic cars."
"Crafted Audience","Classic Car Shoppers","Consumer > Auto > Classic Car Shoppers","People researching and comparing classic cars. These consumers are more likely to spend money on car shows and collectible cars."
"Crafted Audience","Classical Music Enthusiasts","Consumer > Media > Music > Classical Music Enthusiasts","People reading about classical music and musicians."
"Content Cluster","Clean Energy","Content Clusters > Clean Energy","People in this audience are interested in energy, batteries, clean energy, green energy, solar energy, and renewable energy."
"Crafted Audience","Clemson Tigers Fans","Consumer > Media > Sports Fans > Clemson Tigers Fans","Fans of Clemson Tigers"
"Crafted Audience","Cleveland Browns Fans","Consumer > Media > Sports Fans > Cleveland Browns Fans","People reading news about the Cleveland Browns and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","Cleveland Cavaliers Fans","Consumer > Media > Sports Fans > Cleveland Cavaliers Fans","People reading news about the Cleveland Cavaliers and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","Cleveland Indians Fans","Consumer > Media > Sports Fans > Cleveland Indians Fans","Fans of Cleveland Indians"
"Content Cluster","Cleveland News","Content Clusters > Cleveland News","People in this audience are interested in news related to Cleveland and Canton Ohio."
"Crafted Audience","Clinic & Lab Immunologist Professionals","Lifestyle > Occupation > Clinic & Lab Immunologist Professionals","Professionals reading industry news and trends on immunology at medical clinics and labs. "
"Crafted Audience","Cloud Security Researchers","Consumer > Electronics > Cloud Security Researchers","Professionals reading industry news and researching products and services for cloud security."
"Crafted Audience","Cloud Storage Provider Researchers","Consumer > Media > Cloud Storage Provider Researchers","Consumers researching and comparing cloud storage providers."
"Location Audience","Club Monaco","Points of interest > Retail > Apparel > Club Monaco","People in this audience have recently visited a Club Monaco location."
"Location Audience","Coach","Points of interest > Retail > Apparel > Coach","People in this audience have recently visited a Coach location."
"Crafted Audience","Cocktail Recipe Researchers","Consumer > CPG > Food > Cocktail Recipe Researchers","People researching recipes for cocktails and mixed drinks."
"Crafted Audience","Coders & Developers","Lifestyle > Occupation > Coders & Developers","People reading about software development techniques and products."
"Crafted Audience","Coffee Bean Shoppers","Consumer > CPG > Food > Coffee Bean Shoppers","Consumers researching coffee brands and purchasing coffee beans."
"Crafted Audience","Coffee Chain Shoppers","Consumer > CPG > Food > Coffee Chain Shoppers","People shopping for coffee products from chains coffee brands."
"Crafted Audience","Coffee Lovers","Consumer > CPG > Food > Coffee Lovers","Consumers researching coffee companies and purchasing coffee beans. These consumers are more likely to purchase coffee online and visit coffeehouses."
"Crafted Audience","Coin Collectors","Lifestyle > Activities > Coin Collectors","People researching rare coins and purchasing products for their collection."
"Location Audience","Cold Stone Creamery","Points of interest > Restaurants > QSR > Cold Stone Creamery","People in this audience have recently visited a Cold Stone Creamery location."
"Crafted Audience","Cold and Flu Prevention Researchers","Consumer > Healthcare > Cold and Flu Prevention Researchers","People researching cold and flu prevention and symptom relief."
"Location Audience","Coldwell Banker","Points of interest > Services > Real Estate Brokers > Coldwell Banker","People in this audience have recently visited a Coldwell Banker location."
"Content Cluster","Collectibles - Coins & Sports Cards","Content Clusters > Collectibles - Coins & Sports Cards","People in this audience are interested in coin collecting, baseball cards, and other hobby collecting."
"Content Cluster","Collectibles - Toys & Collectibles","Content Clusters > Collectibles - Toys & Collectibles","People in this audience are interested in collectibles, cartoons, Legos, toys, and anime."
"Crafted Audience","College Aspirants","Lifestyle > Lifestage > Youth > College Aspirants","People researching and applying to colleges and universities."
"Crafted Audience","College Football Fans","Consumer > Media > Sports Fans > College Football Fans","People reading news about college football and watching games. These consumers are more likely to spend money on team gear."
"Content Cluster","College Greek Life","Content Clusters > College Greek Life","People in this audience are interested in content related to college fraternities and sororities."
"Content Cluster","College Planning","Content Clusters > College Planning","People in this audience are interested in college planning, SAT & ACT prep, and college applications."
"Crafted Audience","College Professors","Lifestyle > Occupation > College Professors","Professionals reading industry news and researching products and services for college professors."
"Content Cluster","College Sports","Content Clusters > College Sports","People in this audience are interested in college athletics."
"Crafted Audience","College Students","Lifestyle > Lifestage > Youth > College Students","People visiting university websites."
"Location Audience","Colleges","Points of interest > Education > Higher Education > Colleges","People in this audience have recently visited a Colleges location."
"Crafted Audience","Colombia Trip Planners","Consumer > Travel > Colombia Trip Planners","People researching attractions and accommodations in Colombia These consumers are more likely to spend money on flights, hotels, and local attractions."
"Content Cluster","Colorado Cluster","Content Clusters > Colorado Cluster","People in this audience are interested in a variety of content related to the State of Colorado, including Denver."
"Content Cluster","Colorado News","Content Clusters > Colorado News","People in this audience are interested in news related to Colorado, with a focus on Denver and Boulder."
"Crafted Audience","Colorado Skiers and Snowboarders","Consumer > Travel > Colorado Skiers and Snowboarders","Consumers reading reviews of ski resorts and snow reports in Colorado."
"Content Cluster","Colorado Snow","Content Clusters > Colorado Snow","People in this audience are interested in Colorado ski reports and outdoor activities."
"Location Audience","Columbia","Points of interest > Retail > Apparel > Columbia","People in this audience have recently visited a Columbia location."
"Content Cluster","Combat Sports","Content Clusters > Combat Sports","People in this audience are interested in fighting, wrestling, and boxing."
"Content Cluster","Comedy Content","Content Clusters > Comedy Content","People in this audience are interested in comedy, jokes, and humor."
"Crafted Audience","Comedy Fans","Consumer > Media > Comedy Fans","Consumers of online comedy videos and articles."
"Crafted Audience","Comedy Movie and TV Enthusiasts","Consumer > Media > Comedy Movie and TV Enthusiasts","Consumers researching popular comedy movies and TV shows."
"Location Audience","Comfort Inn","Points of interest > Travel > Hotels > Comfort Inn","People in this audience have recently visited a Comfort Inn location."
"Crafted Audience","Commercial Architects and Designers","Lifestyle > Occupation > Commercial Architects and Designers","Professionals reading industry news on commercial architecture and design."
"Crafted Audience","Commercial Banking Market Intelligence Researchers","Consumer > B2B > Commercial Banking Market Intelligence Researchers","Professionals researching market intelligence for commercial banking."
